"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1990","1990","USD","US Dollar","6","Millions","2015","2015",697425.515,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1991","1991","USD","US Dollar","6","Millions","2015","2015",696641.916,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1992","1992","USD","US Dollar","6","Millions","2015","2015",705878.922,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1993","1993","USD","US Dollar","6","Millions","2015","2015",714677.533,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1994","1994","USD","US Dollar","6","Millions","2015","2015",726900,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1995","1995","USD","US Dollar","6","Millions","2015","2015",736484.735,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1996","1996","USD","US Dollar","6","Millions","2015","2015",748327.498,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1997","1997","USD","US Dollar","6","Millions","2015","2015",773879.779,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1998","1998","USD","US Dollar","6","Millions","2015","2015",793421.38,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","1999","1999","USD","US Dollar","6","Millions","2015","2015",821019.013,,
"CAN","Canada","P3","Final consumption expenditure","VPVOB","Constant prices, constant PPPs, OECD base year","2000","2000","USD","US Dollar","6","Millions","2015","2015",853058.024,,
