"COUNTRY","Country","PRODUCT","Product","BALANCE","Balance","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1989","1989",147788,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1990","1990",155019,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1991","1991",156818,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1992","1992",159545,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1993","1993",163650,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1994","1994",167463,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1995","1995",173159,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1996","1996",177598,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1997","1997",182939,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1998","1998",195369,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1999","1999",203987,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2000","2000",210224,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2001","2001",224635,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2002","2002",227555,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2003","2003",220802,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2004","2004",228434,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2005","2005",228650,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2006","2006",232830,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2007","2007",243157,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2008","2008",243221,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2009","2009",248162,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2010","2010",252661,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2011","2011",253820,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2012","2012",250931,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2013","2013",249370,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2014","2014",247451,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2015","2015",251415,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2016","2016",256563,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2017","2017",258019,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2018","2018",260998,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2019","2019",264025,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2020","2020",265178.199,,
"AUS","Australia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2021","2021",265554.452,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1989","1989",50029,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1990","1990",50294,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1991","1991",51483,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1992","1992",51190,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1993","1993",52421,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1994","1994",53132,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1995","1995",56225,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1996","1996",54880,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1997","1997",56704,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1998","1998",57001,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1999","1999",60944,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2000","2000",61257,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2001","2001",62449,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2002","2002",62499,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2003","2003",60174,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2004","2004",64152,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2005","2005",66833,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2006","2006",64702,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2007","2007",65085,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2008","2008",66852,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2009","2009",69088,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2010","2010",71128,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2011","2011",65813,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2012","2012",72603,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2013","2013",68357,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2014","2014",65439,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2015","2015",65299,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2016","2016",68308,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2017","2017",71324.414,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2018","2018",68617.889,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2019","2019",74234.304,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2020","2020",72566.304,,
"AUT","Austria","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2021","2021",70778.625,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1989","1989",67547,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1990","1990",70923,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1991","1991",71936,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1992","1992",72225,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1993","1993",70834,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1994","1994",72179,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1995","1995",74408,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1996","1996",76099,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1997","1997",78833,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1998","1998",83183,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1999","1999",84514,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2000","2000",84012,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2001","2001",79821,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2002","2002",82069,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2003","2003",84630,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2004","2004",84210,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2005","2005",85677,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2006","2006",84587,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2007","2007",88103,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2008","2008",84400,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2009","2009",91183,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2010","2010",94582,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2011","2011",90588,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2012","2012",83036,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2013","2013",83498,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2014","2014",72545,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2015","2015",69708,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2016","2016",85608,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2017","2017",86616.3,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2018","2018",75036.8,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2019","2019",93639.8,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2020","2020",89389,,
"BEL","Belgium","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2021","2021",100142.3,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1989","1989",499568,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1990","1990",482152,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1991","1991",508572,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1992","1992",520390,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1993","1993",532228,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1994","1994",555784,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1995","1995",560116,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1996","1996",573040,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1997","1997",573711,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1998","1998",561760,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1999","1999",579056,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2000","2000",605707,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2001","2001",589891,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2002","2002",601269,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2003","2003",589653,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2004","2004",599976,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2005","2005",620780,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2006","2006",609926,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2007","2007",628035,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2008","2008",633214,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2009","2009",608600,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2010","2010",603056,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2011","2011",633420,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2012","2012",632098,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2013","2013",657695,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2014","2014",658762,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2015","2015",657944,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2016","2016",666054,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2017","2017",663320,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2018","2018",658332,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2019","2019",652675,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2020","2020",651896,,
"CAN","Canada","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2021","2021",643035.676,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1989","1989",17811,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1990","1990",18372,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1991","1991",19961,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1992","1992",22363,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1993","1993",24003,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1994","1994",25277,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1995","1995",28027,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1996","1996",30733,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1997","1997",33297,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1998","1998",35509,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1999","1999",38390,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2000","2000",40078,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2001","2001",42531,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2002","2002",43671,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2003","2003",46829,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2004","2004",51208,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2005","2005",52484,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2006","2006",55320,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2007","2007",58509,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2008","2008",59704,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2009","2009",60722,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2010","2010",60434,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2011","2011",65713,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2012","2012",69751,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2013","2013",73065,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2014","2014",70753,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2015","2015",75414,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2016","2016",79335,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2017","2017",79443.209,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2018","2018",82339.01,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2019","2019",84558.255,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2020","2020",83993.528,,
"CHL","Chile","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2021","2021",86007.598,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1989","1989",34970,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1990","1990",36357,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1991","1991",36990,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1992","1992",32944,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1993","1993",38559,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1994","1994",41409,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1995","1995",42716,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1996","1996",43362,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1997","1997",44605,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1998","1998",44897,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1999","1999",42822,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2000","2000",43131,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2001","2001",43448,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2002","2002",45048,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2003","2003",46547,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2004","2004",49726,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2005","2005",50344,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2006","2006",53772,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2007","2007",55232,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2008","2008",55945,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2009","2009",57156,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2010","2010",60629,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2011","2011",62187,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2012","2012",63539,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2013","2013",74001,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2014","2014",71072,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2015","2015",78596,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2016","2016",76800,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2017","2017",79280.015,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2018","2018",79963.277,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2019","2019",80415.465,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2020","2020",79549.561,,
"COL","Colombia","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2021","2021",82006.97,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1989","1989",3410,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1990","1990",3468,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1991","1991",3864,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1992","1992",4912,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1993","1993",4912,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1994","1994",4912,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1995","1995",4881,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1996","1996",4802,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1997","1997",5611,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1998","1998",5413,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","1999","1999",6178,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2000","2000",6919,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2001","2001",6745,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2002","2002",7525,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2003","2003",7453,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2004","2004",8215,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2005","2005",8260,,
"CRI","Costa Rica","CBPRODUCT001","Electricity (GWh)","CBBALANCE001","Total gross production","2006","2006",8697,,
